Price,Close,High,Low,Open,Volume
Ticker,AMD,AMD,AMD,AMD,AMD
Datetime,,,,,
2025-07-10 13:30:00+00:00,143.8249969482422,145.21009826660156,142.8000030517578,142.96499633789062,7856409
2025-07-10 13:35:00+00:00,144.11000061035156,144.33990478515625,143.0399932861328,143.83999633789062,1959217
2025-07-10 13:40:00+00:00,143.6894989013672,144.5800018310547,143.4600067138672,144.08009338378906,2220334
2025-07-10 13:45:00+00:00,143.6956024169922,144.17999267578125,143.55999755859375,143.66000366210938,487577
2025-07-10 13:50:00+00:00,143.2200927734375,143.38999938964844,142.9844970703125,143.24000549316406,2962943
2025-07-10 13:55:00+00:00,142.3300018310547,143.25,141.85000610351562,143.22999572753906,1852179
2025-07-10 14:00:00+00:00,143.01499938964844,143.1300048828125,142.30999755859375,142.33999633789062,1215804
2025-07-10 14:05:00+00:00,142.82080078125,143.07000732421875,142.35000610351562,143.00999450683594,947052
2025-07-10 14:10:00+00:00,143.35000610351562,143.73500061035156,142.80999755859375,142.83999633789062,1119183
2025-07-10 14:15:00+00:00,144.14999389648438,144.36500549316406,143.30999755859375,143.35000610351562,1475718
2025-07-10 14:20:00+00:00,143.89100646972656,144.18820190429688,143.3000030517578,144.1300048828125,1124358
2025-07-10 14:25:00+00:00,144.38980102539062,144.38999938964844,143.60049438476562,143.89959716796875,1066842
2025-07-10 14:30:00+00:00,144.7301025390625,144.8300018310547,144.19009399414062,144.3800048828125,1211835
2025-07-10 14:35:00+00:00,145.6699981689453,145.82000732421875,144.63270568847656,144.72999572753906,2437409
2025-07-10 14:40:00+00:00,145.11000061035156,145.72000122070312,145.01010131835938,145.67149353027344,1548175
2025-07-10 14:45:00+00:00,144.99099731445312,145.1999969482422,144.55999755859375,145.1199951171875,1366092
2025-07-10 14:50:00+00:00,144.6699981689453,145.6697998046875,144.6699981689453,144.9832000732422,1283001
2025-07-10 14:55:00+00:00,144.44000244140625,144.82040405273438,144.0800018310547,144.6750030517578,1156260
2025-07-10 15:00:00+00:00,144.5399932861328,144.7501983642578,144.19000244140625,144.47000122070312,671852
2025-07-10 15:05:00+00:00,144.30999755859375,144.69000244140625,144.2100067138672,144.52000427246094,511980
2025-07-10 15:10:00+00:00,143.6199951171875,144.3000030517578,143.50999450683594,144.28500366210938,789652
2025-07-10 15:15:00+00:00,143.67999267578125,143.75,143.39999389648438,143.6300048828125,703169
2025-07-10 15:20:00+00:00,143.7310028076172,143.75999450683594,143.22999572753906,143.6999053955078,1046527
2025-07-10 15:25:00+00:00,144.14999389648438,144.25,143.5200958251953,143.73959350585938,779951
2025-07-10 15:30:00+00:00,144.0800018310547,144.2176055908203,143.82000732421875,144.16000366210938,522831
2025-07-10 15:35:00+00:00,144.11500549316406,144.22999572753906,143.89999389648438,144.05499267578125,498257
2025-07-10 15:40:00+00:00,144.30999755859375,144.32000732421875,144.00999450683594,144.11000061035156,316794
2025-07-10 15:45:00+00:00,144.30999755859375,144.3480987548828,144.1199951171875,144.31640625,285925
2025-07-10 15:50:00+00:00,144.16000366210938,144.36990356445312,144.14999389648438,144.3076934814453,282765
2025-07-10 15:55:00+00:00,144.11990356445312,144.22979736328125,144.0,144.1699981689453,422934
2025-07-10 16:00:00+00:00,144.09910583496094,144.22000122070312,143.8000030517578,144.13400268554688,398988
2025-07-10 16:05:00+00:00,143.7698974609375,144.11000061035156,143.67059326171875,144.08999633789062,331074
2025-07-10 16:10:00+00:00,143.3800048828125,143.7799072265625,143.25,143.75,497248
2025-07-10 16:15:00+00:00,143.38499450683594,143.4600067138672,143.11000061035156,143.3800048828125,521872
2025-07-10 16:20:00+00:00,143.97000122070312,144.00999450683594,143.33999633789062,143.3699951171875,507702
