timestamp,close,high,low,trade_count,open,volume,vwap
2021-06-08 08:00:00+00:00,126.06,126.16,125.96,303,126.1,20926,126.050118
2021-06-08 08:15:00+00:00,126.17,126.17,126.05,137,126.05,5568,126.111042
2021-06-08 08:30:00+00:00,126.3,126.3,126.23,116,126.23,4672,126.281063
2021-06-08 08:45:00+00:00,126.3,126.3,126.25,96,126.3,10941,126.269612
2021-06-08 09:00:00+00:00,126.32,126.32,126.22,102,126.27,5402,126.279481
2021-06-08 09:15:00+00:00,126.23,126.32,126.23,101,126.32,5140,126.294037
2021-06-08 09:30:00+00:00,126.28,126.3,126.23,105,126.23,5413,126.276699
2021-06-08 09:45:00+00:00,126.38,126.4,126.29,108,126.29,5140,126.332955
2021-06-08 10:00:00+00:00,126.28,126.38,126.25,137,126.38,5892,126.323085
2021-06-08 10:15:00+00:00,125.9,126.3,125.9,337,126.3,19147,126.136066
2021-06-08 10:30:00+00:00,126.3,126.3,125.84,202,125.9,10231,126.20277
2021-06-08 10:45:00+00:00,126.49,126.6,126.28,285,126.28,19473,126.454531
2021-06-08 11:00:00+00:00,126.75,126.75,126.4,890,126.44,75709,126.602495
2021-06-08 11:15:00+00:00,126.66,126.75,126.62,449,126.73,37340,126.691239
2021-06-08 11:30:00+00:00,126.83,126.84,126.56,667,126.67,46033,126.708228
2021-06-08 11:45:00+00:00,126.83,126.85,126.73,644,126.83,46348,126.807407
2021-06-08 12:00:00+00:00,126.74,126.95,126.3999,1816,126.4101,254893,126.728611
2021-06-08 12:15:00+00:00,126.87,126.95,126.75,900,126.79,81637,126.861048
2021-06-08 12:30:00+00:00,126.83,126.87,126.75,899,126.85,81577,126.815851
2021-06-08 12:45:00+00:00,126.93,126.94,126.7,1278,126.85,114031,126.830445
2021-06-08 13:00:00+00:00,126.9,126.92,126.83,1782,126.92,81092,126.883361
2021-06-08 13:15:00+00:00,126.62,126.92,126.6,2474,126.9,234792,126.756353
2021-06-08 13:30:00+00:00,128.2,128.29,126.4485,75129,126.62,10574034,127.274055
2021-06-08 13:45:00+00:00,127.025,128.46,126.9201,61279,128.205,8469233,127.705316
2021-06-08 14:00:00+00:00,127.415,127.42,126.78,34848,127.02,4933370,127.08925
2021-06-08 14:15:00+00:00,127.495,127.64,127.17,24153,127.4177,3221300,127.470423
2021-06-08 14:30:00+00:00,127.425,127.51,127.07,22683,127.495,2840878,127.329269
2021-06-08 14:45:00+00:00,127.135,127.45,126.93,18920,127.425,2473031,127.187427
2021-06-08 15:00:00+00:00,127.17,127.47,127.06,18340,127.14,2356166,127.290422
2021-06-08 15:15:00+00:00,126.455,127.26,126.2101,26687,127.18,3486122,126.602634
2021-06-08 15:30:00+00:00,126.7101,126.8,126.41,19589,126.453,2605408,126.587711
2021-06-08 15:45:00+00:00,126.61,126.82,126.61,15170,126.71,2089656,126.730021
2021-06-08 16:00:00+00:00,126.72,126.82,126.53,11399,126.61,1498597,126.713426
2021-06-08 16:15:00+00:00,126.6788,126.82,126.54,11798,126.72,1495897,126.687403
2021-06-08 16:30:00+00:00,126.655,126.74,126.6,9599,126.6799,1297023,126.686248
2021-06-08 16:45:00+00:00,126.825,126.84,126.6418,8719,126.656,1001404,126.752443
2021-06-08 17:00:00+00:00,126.595,126.83,126.595,8299,126.82,907454,126.731584
2021-06-08 17:15:00+00:00,126.4628,126.63,126.46,9097,126.6,1013369,126.547461
2021-06-08 17:30:00+00:00,126.734,126.75,126.43,10772,126.46,1358266,126.609368
2021-06-08 17:45:00+00:00,126.7072,126.93,126.67,12056,126.735,1536853,126.794056
2021-06-08 18:00:00+00:00,126.8824,126.985,126.67,9632,126.709,1185267,126.862629
2021-06-08 18:15:00+00:00,127.0279,127.0279,126.82,9667,126.8801,1537319,126.923639
2021-06-08 18:30:00+00:00,127.06,127.09,126.983,9816,127.025,1200372,127.042762
2021-06-08 18:45:00+00:00,127.285,127.3183,127.03,10685,127.05,1430335,127.179405
2021-06-08 19:00:00+00:00,127.255,127.42,127.24,13890,127.29,1807900,127.322696
2021-06-08 19:15:00+00:00,127.005,127.27,127.0,13661,127.26,1813547,127.132769
2021-06-08 19:30:00+00:00,126.935,127.0782,126.85,15332,127.015,2068217,126.966421
2021-06-08 19:45:00+00:00,126.74,127.04,126.68,31093,126.93,4159512,126.831075
2021-06-08 20:00:00+00:00,126.78,126.85,126.7,765,126.74,9309899,126.740107
2021-06-08 20:15:00+00:00,126.75,126.78,126.7,574,126.77,27339,126.751759
2021-06-08 20:30:00+00:00,126.68,126.76,126.68,829,126.75,15703,126.723145
2021-06-08 20:45:00+00:00,126.66,126.79,126.54,570,126.67,40683,126.611753
